date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:06	102/102	---MCZ	200	added ('OK')	text/plain	date:Sun,%2010%20Dec%202017%2018:40:54%20GMT	http://www.nutritionpersonalized.com/robots.txt		(from )
19:45:07	13215/13215	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:51%20GMT	http://www.nutritionpersonalized.com/	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/index.html	(from )
19:45:07	7429/7429	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Dec%202017%2018:41:26%20GMT	http://nutritionpersonalized.com/uploads/3/6/5/3/3653129/1452290434.jpg	D:/xampp/htdocs/nutrion_backup/Nutrion/nutritionpersonalized.com/uploads/3/6/5/3/3653129/1452290434.jpg	(from http://www.nutritionpersonalized.com/)
19:45:07	5552/5552	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Dec%202017%2018:41:25%20GMT	http://nutritionpersonalized.com/uploads/3/6/5/3/3653129/4181555.jpg?94	D:/xampp/htdocs/nutrion_backup/Nutrion/nutritionpersonalized.com/uploads/3/6/5/3/3653129/4181555f4b9.jpg	(from http://www.nutritionpersonalized.com/)
19:45:08	8853/8853	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Dec%202017%2018:42:00%20GMT	http://nutritionpersonalized.com/uploads/3/6/5/3/3653129/7289808.jpg?102	D:/xampp/htdocs/nutrion_backup/Nutrion/nutritionpersonalized.com/uploads/3/6/5/3/3653129/7289808ec89.jpg	(from http://www.nutritionpersonalized.com/)
19:45:09	4895/4895	---M--	200	added ('OK')	text/css	etag:%224ed5ec5f948c0%22	http://www3.dragndropbuilder.com/editor/libraries/fancybox/fancybox.css?1432850887	D:/xampp/htdocs/nutrion_backup/Nutrion/www3.dragndropbuilder.com/editor/libraries/fancybox/fancybox8e4c.css	(from http://www.nutritionpersonalized.com/)
19:45:11	87930/87930	---M--	200	added ('OK')	text/css	etag:%225172b978a2940%22	http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/css/sitesc33f.css	(from http://www.nutritionpersonalized.com/)
19:45:11	12326/12326	---MCZ	200	added ('OK')	text/css	date:Sun,%2010%20Dec%202017%2018:40:54%20GMT	http://www.nutritionpersonalized.com/files/main_style.css?1512931227	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/files/main_stylefa36.css	(from http://www.nutritionpersonalized.com/)
19:45:13	65152/65152	---M--	200	added ('OK')	application/x-javascript	etag:%22500613dd8cf40%22	http://assets.www3.dragndropbuilder.com/js/site/main.js?buildTime=1432850887	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/js/site/mainc33f.js	(from http://www.nutritionpersonalized.com/)
19:45:15	13215/13215	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:51%20GMT	http://www.nutritionpersonalized.com/index.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/index-2.html	(from http://www.nutritionpersonalized.com/)
19:45:15	13453/13453	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:52%20GMT	http://www.nutritionpersonalized.com/about-me.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/about-me.html	(from http://www.nutritionpersonalized.com/)
19:45:16	23601/23601	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:41:13%20GMT	http://www.nutritionpersonalized.com/publications.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/publications.html	(from http://www.nutritionpersonalized.com/)
19:45:16	15812/15812	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:54%20GMT	http://www.nutritionpersonalized.com/consultations.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/consultations.html	(from http://www.nutritionpersonalized.com/)
19:45:16	10280/10280	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:52%20GMT	http://www.nutritionpersonalized.com/contact.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/contact.html	(from http://www.nutritionpersonalized.com/)
19:45:16	18393/18393	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Dec%202017%2018:40:54%20GMT	http://www.nutritionpersonalized.com/forum.html	D:/xampp/htdocs/nutrion_backup/Nutrion/www.nutritionpersonalized.com/forum.html	(from http://www.nutritionpersonalized.com/)
19:45:17	4034/4034	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/buttons/small_grey.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/buttons/small_grey9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:18	3620/3620	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/buttons/small_blue.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/buttons/small_blue9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:18	4106/4106	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/buttons/large_grey.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/buttons/large_grey9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:18	3902/3902	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/buttons/large_blue.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/buttons/large_blue9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:18	316/316	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Jun%202018%2017:45:57%20GMT	http://assets.www3.dragndropbuilder.com/css/search_button.png	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/css/search_button.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:19	1363/1363	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/search-light.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/search-light9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
19:45:19	605/605	---M--	200	added ('OK')	image/png	etag:%224ed5ec5f948c0%22	http://assets.www3.dragndropbuilder.com/images/common/blog/blog-comment-button.png?1386891211	D:/xampp/htdocs/nutrion_backup/Nutrion/assets.www3.dragndropbuilder.com/images/common/blog/blog-comment-button9867.png	(from http://assets.www3.dragndropbuilder.com/css/sites.css?buildTime=1432850887)
